"Transactions Per Month",Month,Year,"Avg. Transaction Size",Category
79,1,2022,34.62,"Apparel and Merchandise"
115,1,2023,33.42,"Apparel and Merchandise"
151,1,2024,31.90,"Apparel and Merchandise"
209,1,2025,33.08,"Apparel and Merchandise"
82,2,2022,31.57,"Apparel and Merchandise"
134,2,2023,31.25,"Apparel and Merchandise"
145,2,2024,33.28,"Apparel and Merchandise"
208,2,2025,34.36,"Apparel and Merchandise"
87,3,2022,32.28,"Apparel and Merchandise"
159,3,2023,33.60,"Apparel and Merchandise"
161,3,2024,32.80,"Apparel and Merchandise"
243,3,2025,31.58,"Apparel and Merchandise"
82,4,2022,34.97,"Apparel and Merchandise"
156,4,2023,33.14,"Apparel and Merchandise"
135,4,2024,33.84,"Apparel and Merchandise"
343,4,2025,32.36,"Apparel and Merchandise"
94,5,2022,32.82,"Apparel and Merchandise"
140,5,2023,33.43,"Apparel and Merchandise"
148,5,2024,32.61,"Apparel and Merchandise"
343,5,2025,31.43,"Apparel and Merchandise"
85,6,2022,33.86,"Apparel and Merchandise"
146,6,2023,32.66,"Apparel and Merchandise"
112,6,2024,30.21,"Apparel and Merchandise"
318,6,2025,31.66,"Apparel and Merchandise"
78,7,2022,29.89,"Apparel and Merchandise"
114,7,2023,30.20,"Apparel and Merchandise"
140,7,2024,31.31,"Apparel and Merchandise"
223,7,2025,32.42,"Apparel and Merchandise"
86,8,2022,30.61,"Apparel and Merchandise"
140,8,2023,31.31,"Apparel and Merchandise"
124,8,2024,29.43,"Apparel and Merchandise"
207,8,2025,32.33,"Apparel and Merchandise"
104,9,2022,34.56,"Apparel and Merchandise"
120,9,2023,29.29,"Apparel and Merchandise"
110,9,2024,33.79,"Apparel and Merchandise"
212,9,2025,32.83,"Apparel and Merchandise"
93,10,2022,30.89,"Apparel and Merchandise"
114,10,2023,33.79,"Apparel and Merchandise"
123,10,2024,31.53,"Apparel and Merchandise"
328,10,2025,32.08,"Apparel and Merchandise"
89,11,2022,31.17,"Apparel and Merchandise"
117,11,2023,31.58,"Apparel and Merchandise"
123,11,2024,31.89,"Apparel and Merchandise"
247,11,2025,32.28,"Apparel and Merchandise"
85,12,2022,34.60,"Apparel and Merchandise"
129,12,2023,31.82,"Apparel and Merchandise"
115,12,2024,33.42,"Apparel and Merchandise"
257,12,2025,31.27,"Apparel and Merchandise"
72,1,2022,32.35,"Art Supplies"
108,1,2023,34.36,"Art Supplies"
122,1,2024,28.35,"Art Supplies"
216,1,2025,32.94,"Art Supplies"
73,2,2022,29.47,"Art Supplies"
111,2,2023,28.02,"Art Supplies"
102,2,2024,30.55,"Art Supplies"
211,2,2025,31.66,"Art Supplies"
70,3,2022,32.51,"Art Supplies"
112,3,2023,30.81,"Art Supplies"
123,3,2024,31.80,"Art Supplies"
206,3,2025,34.22,"Art Supplies"
83,4,2022,30.83,"Art Supplies"
118,4,2023,31.59,"Art Supplies"
98,4,2024,34.20,"Art Supplies"
255,4,2025,33.95,"Art Supplies"
76,5,2022,28.78,"Art Supplies"
103,5,2023,34.34,"Art Supplies"
103,5,2024,31.34,"Art Supplies"
269,5,2025,34.59,"Art Supplies"
96,6,2022,26.08,"Art Supplies"
98,6,2023,31.26,"Art Supplies"
127,6,2024,32.48,"Art Supplies"
254,6,2025,35.67,"Art Supplies"
57,7,2022,29.18,"Art Supplies"
132,7,2023,32.49,"Art Supplies"
117,7,2024,31.91,"Art Supplies"
138,7,2025,36.36,"Art Supplies"
67,8,2022,31.88,"Art Supplies"
117,8,2023,31.91,"Art Supplies"
116,8,2024,33.27,"Art Supplies"
155,8,2025,30.96,"Art Supplies"
77,9,2022,28.03,"Art Supplies"
112,9,2023,33.50,"Art Supplies"
112,9,2024,32.00,"Art Supplies"
168,9,2025,32.48,"Art Supplies"
71,10,2022,29.52,"Art Supplies"
116,10,2023,31.82,"Art Supplies"
105,10,2024,31.96,"Art Supplies"
296,10,2025,29.58,"Art Supplies"
73,11,2022,32.01,"Art Supplies"
103,11,2023,31.10,"Art Supplies"
115,11,2024,31.01,"Art Supplies"
180,11,2025,33.51,"Art Supplies"
82,12,2022,29.29,"Art Supplies"
117,12,2023,31.78,"Art Supplies"
108,12,2024,34.36,"Art Supplies"
189,12,2025,33.78,"Art Supplies"
40,1,2022,32.37,"Books (General)"
52,1,2023,26.50,"Books (General)"
57,1,2024,34.45,"Books (General)"
110,1,2025,28.24,"Books (General)"
35,2,2022,30.95,"Books (General)"
49,2,2023,34.12,"Books (General)"
57,2,2024,26.51,"Books (General)"
118,2,2025,31.28,"Books (General)"
39,3,2022,26.46,"Books (General)"
61,3,2023,27.11,"Books (General)"
55,3,2024,27.08,"Books (General)"
91,3,2025,31.78,"Books (General)"
42,4,2022,29.06,"Books (General)"
52,4,2023,26.37,"Books (General)"
61,4,2024,29.48,"Books (General)"
152,4,2025,28.92,"Books (General)"
32,5,2022,23.74,"Books (General)"
64,5,2023,29.94,"Books (General)"
61,5,2024,28.51,"Books (General)"
133,5,2025,31.10,"Books (General)"
37,6,2022,26.15,"Books (General)"
61,6,2023,28.51,"Books (General)"
51,6,2024,30.91,"Books (General)"
127,6,2025,28.72,"Books (General)"
36,7,2022,28.89,"Books (General)"
51,7,2023,30.91,"Books (General)"
57,7,2024,28.52,"Books (General)"
82,7,2025,30.25,"Books (General)"
38,8,2022,29.50,"Books (General)"
57,8,2023,28.52,"Books (General)"
57,8,2024,26.53,"Books (General)"
80,8,2025,25.91,"Books (General)"
39,9,2022,30.47,"Books (General)"
56,9,2023,26.69,"Books (General)"
56,9,2024,25.68,"Books (General)"
77,9,2025,29.77,"Books (General)"
41,10,2022,29.86,"Books (General)"
57,10,2023,25.54,"Books (General)"
66,10,2024,26.93,"Books (General)"
129,10,2025,30.79,"Books (General)"
35,11,2022,29.59,"Books (General)"
63,11,2023,26.35,"Books (General)"
83,11,2024,27.37,"Books (General)"
88,11,2025,27.89,"Books (General)"
45,12,2022,28.16,"Books (General)"
86,12,2023,27.78,"Books (General)"
52,12,2024,26.50,"Books (General)"
78,12,2025,24.78,"Books (General)"
100,1,2022,10.75,"Stationery and Supplies"
150,1,2023,10.51,"Stationery and Supplies"
154,1,2024,9.73,"Stationery and Supplies"
274,1,2025,10.07,"Stationery and Supplies"
106,2,2022,9.77,"Stationery and Supplies"
143,2,2023,9.50,"Stationery and Supplies"
114,2,2024,10.29,"Stationery and Supplies"
268,2,2025,9.18,"Stationery and Supplies"
91,3,2022,10.56,"Stationery and Supplies"
122,3,2023,10.46,"Stationery and Supplies"
173,3,2024,10.00,"Stationery and Supplies"
265,3,2025,10.15,"Stationery and Supplies"
97,4,2022,10.12,"Stationery and Supplies"
167,4,2023,10.04,"Stationery and Supplies"
145,4,2024,10.44,"Stationery and Supplies"
360,4,2025,9.90,"Stationery and Supplies"
102,5,2022,10.54,"Stationery and Supplies"
151,5,2023,10.39,"Stationery and Supplies"
162,5,2024,10.11,"Stationery and Supplies"
374,5,2025,9.92,"Stationery and Supplies"
95,6,2022,10.42,"Stationery and Supplies"
160,6,2023,10.11,"Stationery and Supplies"
130,6,2024,9.58,"Stationery and Supplies"
393,6,2025,10.19,"Stationery and Supplies"
107,7,2022,9.47,"Stationery and Supplies"
132,7,2023,9.59,"Stationery and Supplies"
155,7,2024,10.17,"Stationery and Supplies"
229,7,2025,10.36,"Stationery and Supplies"
111,8,2022,9.67,"Stationery and Supplies"
155,8,2023,10.17,"Stationery and Supplies"
153,8,2024,10.43,"Stationery and Supplies"
242,8,2025,10.28,"Stationery and Supplies"
95,9,2022,10.50,"Stationery and Supplies"
147,9,2023,10.59,"Stationery and Supplies"
155,9,2024,10.15,"Stationery and Supplies"
232,9,2025,9.93,"Stationery and Supplies"
116,10,2022,10.43,"Stationery and Supplies"
161,10,2023,10.02,"Stationery and Supplies"
147,10,2024,9.68,"Stationery and Supplies"
377,10,2025,10.16,"Stationery and Supplies"
100,11,2022,10.03,"Stationery and Supplies"
145,11,2023,9.72,"Stationery and Supplies"
154,11,2024,9.49,"Stationery and Supplies"
223,11,2025,10.32,"Stationery and Supplies"
100,12,2022,9.91,"Stationery and Supplies"
156,12,2023,9.45,"Stationery and Supplies"
150,12,2024,10.51,"Stationery and Supplies"
227,12,2025,10.17,"Stationery and Supplies"
110,1,2022,447.26,"Technology & Accessories"
185,1,2023,493.62,"Technology & Accessories"
158,1,2024,450.74,"Technology & Accessories"
228,1,2025,512.84,"Technology & Accessories"
98,2,2022,393.35,"Technology & Accessories"
151,2,2023,446.62,"Technology & Accessories"
155,2,2024,469.47,"Technology & Accessories"
199,2,2025,512.62,"Technology & Accessories"
100,3,2022,440.32,"Technology & Accessories"
160,3,2023,469.52,"Technology & Accessories"
152,3,2024,422.34,"Technology & Accessories"
234,3,2025,432.54,"Technology & Accessories"
105,4,2022,492.53,"Technology & Accessories"
148,4,2023,431.44,"Technology & Accessories"
139,4,2024,475.99,"Technology & Accessories"
180,4,2025,475.97,"Technology & Accessories"
94,5,2022,488.73,"Technology & Accessories"
143,5,2023,465.07,"Technology & Accessories"
138,5,2024,417.57,"Technology & Accessories"
160,5,2025,487.16,"Technology & Accessories"
99,6,2022,419.87,"Technology & Accessories"
135,6,2023,420.68,"Technology & Accessories"
153,6,2024,439.59,"Technology & Accessories"
181,6,2025,474.77,"Technology & Accessories"
101,7,2022,473.78,"Technology & Accessories"
156,7,2023,436.47,"Technology & Accessories"
162,7,2024,457.44,"Technology & Accessories"
217,7,2025,523.46,"Technology & Accessories"
96,8,2022,516.62,"Technology & Accessories"
162,8,2023,457.44,"Technology & Accessories"
147,8,2024,434.14,"Technology & Accessories"
234,8,2025,484.66,"Technology & Accessories"
119,9,2022,405.92,"Technology & Accessories"
141,9,2023,440.61,"Technology & Accessories"
160,9,2024,450.72,"Technology & Accessories"
238,9,2025,533.88,"Technology & Accessories"
113,10,2022,525.90,"Technology & Accessories"
166,10,2023,444.63,"Technology & Accessories"
175,10,2024,439.44,"Technology & Accessories"
422,10,2025,456.77,"Technology & Accessories"
109,11,2022,398.56,"Technology & Accessories"
169,11,2023,437.86,"Technology & Accessories"
183,11,2024,390.56,"Technology & Accessories"
250,11,2025,443.01,"Technology & Accessories"
103,12,2022,546.71,"Technology & Accessories"
189,12,2023,393.53,"Technology & Accessories"
185,12,2024,493.62,"Technology & Accessories"
281,12,2025,466.28,"Technology & Accessories"
84,1,2022,166.24,Textbooks
81,1,2023,168.03,Textbooks
99,1,2024,164.83,Textbooks
68,1,2025,172.60,Textbooks
97,2,2022,183.69,Textbooks
86,2,2023,163.34,Textbooks
78,2,2024,170.61,Textbooks
56,2,2025,162.68,Textbooks
76,3,2022,179.89,Textbooks
86,3,2023,170.74,Textbooks
109,3,2024,170.86,Textbooks
94,3,2025,176.22,Textbooks
107,4,2022,178.71,Textbooks
107,4,2023,171.01,Textbooks
83,4,2024,174.46,Textbooks
144,4,2025,175.25,Textbooks
110,5,2022,181.72,Textbooks
85,5,2023,174.18,Textbooks
117,5,2024,174.52,Textbooks
164,5,2025,170.68,Textbooks
99,6,2022,181.43,Textbooks
116,6,2023,174.35,Textbooks
113,6,2024,176.67,Textbooks
187,6,2025,170.10,Textbooks
97,7,2022,187.60,Textbooks
114,7,2023,176.83,Textbooks
128,7,2024,170.15,Textbooks
115,7,2025,160.03,Textbooks
98,8,2022,177.00,Textbooks
128,8,2023,170.15,Textbooks
143,8,2024,168.07,Textbooks
131,8,2025,171.45,Textbooks
119,9,2022,181.74,Textbooks
138,9,2023,168.38,Textbooks
133,9,2024,176.69,Textbooks
118,9,2025,164.19,Textbooks
94,10,2022,178.51,Textbooks
138,10,2023,176.06,Textbooks
138,10,2024,165.92,Textbooks
187,10,2025,165.73,Textbooks
110,11,2022,181.23,Textbooks
137,11,2023,165.57,Textbooks
140,11,2024,180.13,Textbooks
