Month,Year,"Total Revenue"
1,2022,70597.51
2,2022,63225.69
3,2022,64779.71
4,2022,78465.40
5,2022,73037.02
6,2022,66868.55
7,2022,72096.47
8,2022,73904.91
9,2022,77869.16
10,2022,83610.78
11,2022,70526.89
12,2022,84464.75
1,2023,115439.64
2,2023,91815.52
3,2023,101529.42
4,2023,94095.22
5,2023,93011.83
6,2023,88203.90
7,2023,98822.98
8,2023,107203.90
9,2023,95680.79
10,2023,108715.83
11,2023,106648.71
12,2023,111495.71
1,2024,99272.17
2,2024,96699.78
3,2024,95231.21
4,2024,91875.84
5,2024,89476.87
6,2024,97550.01
7,2024,107203.90
8,2024,98470.41
9,2024,105926.21
10,2024,110232.92
11,2024,107911.50
12,2024,115439.64
1,2025,148558.26
2,2025,131102.08
3,2025,138083.24
4,2025,138626.24
5,2025,133865.16
6,2025,144521.48
7,2025,149097.10
8,2025,151923.99
9,2025,163449.78
10,2025,250830.46
11,2025,146953.33
12,2025,170994.00
